Priority,Target,Type,URL,Action,Status,Date contacted,Notes
1,Google Business Profile (main),Local pack,https://business.google.com/,Optimize: categories/services/products/20 photos/Q&A,Not started,,Highest ROI
1,Duplicate listing "Elite Rental Georgia",Local pack,https://maps.google.com/,Report + remove as duplicate,Not started,,Splits your reviews
1,Yandex Business,Citation (RU),https://yandex.com/support/business-priority/en/add-company/add-org,Add company with exact NAP,Not started,,Big for Russian-speaking tourists
1,2GIS,Citation,https://info.2gis.com/,Add company,Not started,,Used in Tbilisi
1,Trustpilot,Reviews,https://www.trustpilot.com/,Claim business profile,Not started,,Competitors use it
1,Tripadvisor,Reviews/Travel,https://www.tripadvisor.com/Owners,List under Transportation/Car Rental,Not started,,
2,Bing Places,Citation,https://www.bingplaces.com/,Add business (import from GSC),Not started,,
2,Apple Business Connect,Maps,https://businessconnect.apple.com/,Add business,Not started,,iPhone tourists
2,Foursquare,Citation,https://foursquare.com/business,Add venue,Not started,,Feeds many apps
2,Yell.ge,GE directory,https://www.yell.ge/,Add listing,Not started,,EN available
2,Companyinfo.ge / NAPR,Entity,https://www.companyinfo.ge/,Confirm registry entry,Not started,,Entity trust
2,Localrent (partner),Aggregator,https://www.localrent.com/en/rentals/,List inventory as partner,Not started,,Referral traffic now
3,DiscoverCars supplier,Aggregator,https://www.discovercars.com/,Apply as supplier,Not started,,
3,EconomyBookings / QEEQ supplier,Aggregator,https://www.economybookings.com/,Apply as supplier,Not started,,
3,Travelpayouts affiliate program,Affiliate,https://www.travelpayouts.com/,Set up your own affiliate program,Not started,,Lets bloggers earn -> they link to you
1,wander-lush.org,Travel blog,https://wander-lush.org/driving-in-georgia-car-rental-tbilisi/,Pitch inclusion in car-rental guide (template 3c),Not started,,Top Georgia/Caucasus blog; has Work With Me page
1,roadiscalling.com,Travel blog,https://www.roadiscalling.com/renting-a-car-in-georgia-country/,Pitch inclusion (template 3c),Not started,,
2,tripwis.com,Travel blog,https://tripwis.com/our-guide-to-renting-a-car-in-georgia/,Pitch inclusion (template 3c),Not started,,
2,Expats in Tbilisi (FB group),Community,https://www.facebook.com/groups/ExpatsInTbilisi/,Answer car-rental threads helpfully,Not started,,Genuine value not spam
3,Other "best car rental Georgia" listicles,Travel blog,,Find 10 more + pitch each (template 3c),Not started,,Competitors are in all of them; you are in none
2,Hotels (target 10),Partnership,,Outreach template 3a; offer guest discount for a link,Not started,,Start with your pickup-area hotels
2,Guest houses (target 10),Partnership,,Outreach template 3b; referral + commission,Not started,,
2,Tour companies (target 5),Partnership,,Outreach template 3d; cross-referral,Not started,,
3,Tourism portals (georgia.travel / visitgeorgia.ge),Tourism,https://georgia.travel/,Outreach template 3e; request listing,Not started,,High authority slow
1,Recent customers (5),Reviews,https://eliteauto.rent/leave-a-review.html,Ask 5 happy customers for a Google review,Not started,,Set review link in the page first
